num_bins,short_window_size,discount,base_rate,eta,tau_ok,simulation_seed,event_index,event_name,transition_type,boundary_step,window_start,window_end,source_region,target_region,source_present_before_boundary,completed,mediated_by_undecided,direct_switch,has_undecided_in_transition_path,settling_delay_steps,settling_delay_seconds,undecided_steps_before_target,transition_path_length_steps,undecided_fraction_on_transition_path
10,50,0.98,0.5,0.95,0.5,9,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,1,0,1,19.0,1.9000000000000001,17,19,0.8947368421052632
10,50,0.98,0.5,0.95,0.5,9,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,0,,,0,35,0.0
10,50,0.98,0.5,0.95,0.5,9,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,0,0,0,1,,,35,35,1.0
10,50,0.98,0.5,0.95,0.5,9,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,16,35,0.45714285714285713
10,50,0.98,0.5,0.95,0.5,9,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,0,0,0,0,1,,,35,35,1.0
10,50,0.98,0.5,0.95,0.5,9,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,14,35,0.4
10,50,0.98,0.5,0.95,0.5,9,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,0,0,0,1,,,35,35,1.0
10,50,0.98,0.5,0.95,0.5,9,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,0,0,0,1,,,17,35,0.4857142857142857
10,50,0.98,0.5,0.95,0.5,9,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,13,35,0.37142857142857144
10,50,0.98,0.5,0.95,0.5,9,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,0,,,0,35,0.0
10,50,0.98,0.5,0.95,0.5,9,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
10,50,0.99,0.5,0.95,0.5,9,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,0,,,0,35,0.0
10,50,0.99,0.5,0.95,0.5,9,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,1,0,1,6.0,0.6000000000000001,6,6,1.0
10,50,0.99,0.5,0.95,0.5,9,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,0,,,0,35,0.0
10,50,0.99,0.5,0.95,0.5,9,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,0,0,0,1,,,35,35,1.0
10,50,0.99,0.5,0.95,0.5,9,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,9,35,0.2571428571428571
10,50,0.99,0.5,0.95,0.5,9,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,0,0,0,0,1,,,35,35,1.0
10,50,0.99,0.5,0.95,0.5,9,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,3,35,0.08571428571428572
10,50,0.99,0.5,0.95,0.5,9,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,0,0,0,1,,,34,35,0.9714285714285714
10,50,0.99,0.5,0.95,0.5,9,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,0,0,0,1,,,12,35,0.34285714285714286
10,50,0.99,0.5,0.95,0.5,9,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,12,35,0.34285714285714286
10,50,0.99,0.5,0.95,0.5,9,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,0,,,0,35,0.0
10,50,0.99,0.5,0.95,0.5,9,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,20,0.9,0.5,0.95,0.5,10,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,1,,,20,35,0.5714285714285714
3,20,0.9,0.5,0.95,0.5,10,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,20,0.9,0.5,0.95,0.5,10,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,22,35,0.6285714285714286
3,20,0.9,0.5,0.95,0.5,10,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,1,1,0,1,2.0,0.2,2,2,1.0
3,20,0.9,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,27,35,0.7714285714285715
3,20,0.9,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,0,1,1,0,1,11.0,1.1,11,11,1.0
3,20,0.9,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,20,35,0.5714285714285714
3,20,0.9,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,10.0,1.0,10,10,1.0
3,20,0.9,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,1,1,0,1,25.0,2.5,11,25,0.44
3,20,0.9,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,15,35,0.42857142857142855
3,20,0.9,0.5,0.95,0.5,10,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,1,,,16,35,0.45714285714285713
3,20,0.9,0.5,0.95,0.5,10,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,20,0.95,0.5,0.95,0.5,10,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,1,,,15,35,0.42857142857142855
3,20,0.95,0.5,0.95,0.5,10,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,20,0.95,0.5,0.95,0.5,10,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,21,35,0.6
3,20,0.95,0.5,0.95,0.5,10,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,1,1,0,1,2.0,0.2,2,2,1.0
3,20,0.95,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,24,35,0.6857142857142857
3,20,0.95,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,0,1,1,0,1,11.0,1.1,11,11,1.0
3,20,0.95,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,20,35,0.5714285714285714
3,20,0.95,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,10.0,1.0,10,10,1.0
3,20,0.95,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,1,1,0,1,27.0,2.7,12,27,0.4444444444444444
3,20,0.95,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,14,35,0.4
3,20,0.95,0.5,0.95,0.5,10,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,1,,,11,35,0.3142857142857143
3,20,0.95,0.5,0.95,0.5,10,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,20,0.98,0.5,0.95,0.5,10,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,1,,,4,35,0.11428571428571428
3,20,0.98,0.5,0.95,0.5,10,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,20,0.98,0.5,0.95,0.5,10,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,16,35,0.45714285714285713
3,20,0.98,0.5,0.95,0.5,10,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,20,0.98,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,22,35,0.6285714285714286
3,20,0.98,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,1,1,1,0,1,11.0,1.1,11,11,1.0
3,20,0.98,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,17,35,0.4857142857142857
3,20,0.98,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,10.0,1.0,10,10,1.0
3,20,0.98,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,1,1,0,1,29.0,2.9000000000000004,11,29,0.3793103448275862
3,20,0.98,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,9,35,0.2571428571428571
3,20,0.98,0.5,0.95,0.5,10,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,1,,,3,35,0.08571428571428572
3,20,0.98,0.5,0.95,0.5,10,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,20,0.99,0.5,0.95,0.5,10,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,1,,,1,35,0.02857142857142857
3,20,0.99,0.5,0.95,0.5,10,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,20,0.99,0.5,0.95,0.5,10,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,13,35,0.37142857142857144
3,20,0.99,0.5,0.95,0.5,10,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,20,0.99,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,18,35,0.5142857142857142
3,20,0.99,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,1,1,1,0,1,14.0,1.4000000000000001,14,14,1.0
3,20,0.99,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,14,35,0.4
3,20,0.99,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,11.0,1.1,11,11,1.0
3,20,0.99,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,0,0,0,1,,,11,35,0.3142857142857143
3,20,0.99,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,7,35,0.2
3,20,0.99,0.5,0.95,0.5,10,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,0,,,0,35,0.0
3,20,0.99,0.5,0.95,0.5,10,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,25,0.9,0.5,0.95,0.5,10,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,1,,,7,35,0.2
3,25,0.9,0.5,0.95,0.5,10,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,25,0.9,0.5,0.95,0.5,10,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,17,35,0.4857142857142857
3,25,0.9,0.5,0.95,0.5,10,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,1,1,0,1,3.0,0.30000000000000004,3,3,1.0
3,25,0.9,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,23,35,0.6571428571428571
3,25,0.9,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,1,1,1,0,1,11.0,1.1,11,11,1.0
3,25,0.9,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,18,35,0.5142857142857142
3,25,0.9,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,11.0,1.1,11,11,1.0
3,25,0.9,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,1,1,0,1,28.0,2.8000000000000003,11,28,0.39285714285714285
3,25,0.9,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,11,35,0.3142857142857143
3,25,0.9,0.5,0.95,0.5,10,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,1,,,6,35,0.17142857142857143
3,25,0.9,0.5,0.95,0.5,10,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,25,0.95,0.5,0.95,0.5,10,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,1,,,4,35,0.11428571428571428
3,25,0.95,0.5,0.95,0.5,10,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,25,0.95,0.5,0.95,0.5,10,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,16,35,0.45714285714285713
3,25,0.95,0.5,0.95,0.5,10,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,1,1,0,1,2.0,0.2,2,2,1.0
3,25,0.95,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,22,35,0.6285714285714286
3,25,0.95,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,1,1,1,0,1,11.0,1.1,11,11,1.0
3,25,0.95,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,17,35,0.4857142857142857
3,25,0.95,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,11.0,1.1,11,11,1.0
3,25,0.95,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,1,1,0,1,29.0,2.9000000000000004,11,29,0.3793103448275862
3,25,0.95,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,8,35,0.22857142857142856
3,25,0.95,0.5,0.95,0.5,10,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,0,,,0,35,0.0
3,25,0.95,0.5,0.95,0.5,10,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,25,0.98,0.5,0.95,0.5,10,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,1,,,1,35,0.02857142857142857
3,25,0.98,0.5,0.95,0.5,10,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,25,0.98,0.5,0.95,0.5,10,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,13,35,0.37142857142857144
3,25,0.98,0.5,0.95,0.5,10,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,25,0.98,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,19,35,0.5428571428571428
3,25,0.98,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,1,1,1,0,1,14.0,1.4000000000000001,14,14,1.0
3,25,0.98,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,15,35,0.42857142857142855
3,25,0.98,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,12.0,1.2000000000000002,12,12,1.0
3,25,0.98,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,0,0,0,1,,,12,35,0.34285714285714286
3,25,0.98,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,7,35,0.2
3,25,0.98,0.5,0.95,0.5,10,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,0,,,0,35,0.0
3,25,0.98,0.5,0.95,0.5,10,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,25,0.99,0.5,0.95,0.5,10,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,0,,,0,35,0.0
3,25,0.99,0.5,0.95,0.5,10,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,25,0.99,0.5,0.95,0.5,10,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,6,35,0.17142857142857143
3,25,0.99,0.5,0.95,0.5,10,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,25,0.99,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,16,35,0.45714285714285713
3,25,0.99,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,1,1,1,0,1,16.0,1.6,16,16,1.0
3,25,0.99,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,5,35,0.14285714285714285
3,25,0.99,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,12.0,1.2000000000000002,12,12,1.0
3,25,0.99,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,0,0,0,1,,,12,35,0.34285714285714286
3,25,0.99,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,6,35,0.17142857142857143
3,25,0.99,0.5,0.95,0.5,10,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,0,,,0,35,0.0
3,25,0.99,0.5,0.95,0.5,10,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,35,0.9,0.5,0.95,0.5,10,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,0,,,0,35,0.0
3,35,0.9,0.5,0.95,0.5,10,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,35,0.9,0.5,0.95,0.5,10,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,9,35,0.2571428571428571
3,35,0.9,0.5,0.95,0.5,10,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,35,0.9,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,17,35,0.4857142857142857
3,35,0.9,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,1,1,1,0,1,15.0,1.5,15,15,1.0
3,35,0.9,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,16,35,0.45714285714285713
3,35,0.9,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,12.0,1.2000000000000002,12,12,1.0
3,35,0.9,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,0,0,0,1,,,11,35,0.3142857142857143
3,35,0.9,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,5,35,0.14285714285714285
3,35,0.9,0.5,0.95,0.5,10,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,0,,,0,35,0.0
3,35,0.9,0.5,0.95,0.5,10,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,35,0.95,0.5,0.95,0.5,10,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,0,,,0,35,0.0
3,35,0.95,0.5,0.95,0.5,10,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,35,0.95,0.5,0.95,0.5,10,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,5,35,0.14285714285714285
3,35,0.95,0.5,0.95,0.5,10,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,35,0.95,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,15,35,0.42857142857142855
3,35,0.95,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,1,1,1,0,1,16.0,1.6,16,16,1.0
3,35,0.95,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,11,35,0.3142857142857143
3,35,0.95,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,12.0,1.2000000000000002,12,12,1.0
3,35,0.95,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,0,0,0,1,,,11,35,0.3142857142857143
3,35,0.95,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,5,35,0.14285714285714285
3,35,0.95,0.5,0.95,0.5,10,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,0,,,0,35,0.0
3,35,0.95,0.5,0.95,0.5,10,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,35,0.98,0.5,0.95,0.5,10,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,0,,,0,35,0.0
3,35,0.98,0.5,0.95,0.5,10,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,35,0.98,0.5,0.95,0.5,10,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,2,35,0.05714285714285714
3,35,0.98,0.5,0.95,0.5,10,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,35,0.98,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,10,35,0.2857142857142857
3,35,0.98,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,1,1,1,0,1,19.0,1.9000000000000001,19,19,1.0
3,35,0.98,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,0,,,0,35,0.0
3,35,0.98,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,13.0,1.3,13,13,1.0
3,35,0.98,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,0,0,0,1,,,9,35,0.2571428571428571
3,35,0.98,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,4,35,0.11428571428571428
3,35,0.98,0.5,0.95,0.5,10,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,0,,,0,35,0.0
3,35,0.98,0.5,0.95,0.5,10,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,35,0.99,0.5,0.95,0.5,10,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,0,,,0,35,0.0
3,35,0.99,0.5,0.95,0.5,10,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,35,0.99,0.5,0.95,0.5,10,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,0,,,0,35,0.0
3,35,0.99,0.5,0.95,0.5,10,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,35,0.99,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,5,35,0.14285714285714285
3,35,0.99,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,1,1,1,0,1,20.0,2.0,20,20,1.0
3,35,0.99,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,0,,,0,35,0.0
3,35,0.99,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,13.0,1.3,13,13,1.0
3,35,0.99,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,0,0,0,1,,,7,35,0.2
3,35,0.99,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,3,35,0.08571428571428572
3,35,0.99,0.5,0.95,0.5,10,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,0,,,0,35,0.0
3,35,0.99,0.5,0.95,0.5,10,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,50,0.9,0.5,0.95,0.5,10,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,0,,,0,35,0.0
3,50,0.9,0.5,0.95,0.5,10,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,50,0.9,0.5,0.95,0.5,10,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,0,,,0,35,0.0
3,50,0.9,0.5,0.95,0.5,10,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,50,0.9,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,2,35,0.05714285714285714
3,50,0.9,0.5,0.95,0.5,10,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,0,1,1,0,1,23.0,2.3000000000000003,23,23,1.0
3,50,0.9,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,0,,,0,35,0.0
3,50,0.9,0.5,0.95,0.5,10,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,15.0,1.5,15,15,1.0
3,50,0.9,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,0,0,0,1,,,5,35,0.14285714285714285
3,50,0.9,0.5,0.95,0.5,10,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,1,35,0.02857142857142857
3,50,0.9,0.5,0.95,0.5,10,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,0,,,0,35,0.0
3,50,0.9,0.5,0.95,0.5,10,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,50,0.95,0.5,0.95,0.5,10,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,0,,,0,35,0.0
3,50,0.95,0.5,0.95,0.5,10,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,50,0.95,0.5,0.95,0.5,10,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,0,,,0,35,0.0
